,Burst No.,Message Pair No.,o(i),d(i),theta(i),delta(i),t1,t2,t3,t4
0,1,1,612627456.0,647542784,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
1,2,1,89623552.0,651110400,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
2,3,1,363594752.0,139970560,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
3,4,1,86337536.0,671526912,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
4,5,1,96531456.0,705341440,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
5,6,1,362231808.0,130682880,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
6,7,1,125196288.0,609595392,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
7,8,1,-105527296.0,1051742208,0.0,0,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
8,1,2,370927616.0,159412224,362231808.0,130682880,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
9,2,2,362429440.0,115914752,362231808.0,130682880,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
10,3,2,368382976.0,118413312,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
11,4,2,362695680.0,122906624,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
12,5,2,363261952.0,121368576,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
13,6,2,372669440.0,128055296,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
14,7,2,370814976.0,126124032,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
15,8,2,360888320.0,121745408,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
16,1,3,264714240.0,145887232,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
17,2,3,260388864.0,112857088,362429440.0,115914752,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
18,3,3,275490816.0,138043392,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
19,4,3,270522368.0,129609728,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
20,5,3,262280192.0,120109056,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
21,6,3,263653376.0,122458112,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
22,7,3,264353792.0,118853632,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
23,8,3,266873856.0,122730496,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
24,1,4,267975680.0,164734976,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
25,2,4,242426880.0,143353856,260388864.0,112857088,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
26,3,4,258049024.0,116230144,264353792.0,118853632,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
27,4,4,257039360.0,119281664,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
28,5,4,271026176.0,155189248,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
29,6,4,257490944.0,135651328,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
30,7,4,253450240.0,125693952,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
31,8,4,260025344.0,120305664,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
32,1,5,248735744.0,133820416,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
33,2,5,248662016.0,118140928,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
34,3,5,249800704.0,119562240,258049024.0,116230144,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
35,4,5,244233216.0,125970432,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
36,5,5,247395328.0,126101504,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
37,6,5,243771392.0,123871232,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
38,7,5,247561216.0,119961600,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
39,8,5,259462144.0,145315840,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
40,1,6,261853184.0,195010560,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
41,2,6,-8470528.0,629501952,248662016.0,118140928,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
42,3,6,240868352.0,127576064,249800704.0,119562240,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
43,4,6,-14871552.0,649099264,247561216.0,119961600,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
44,5,6,-53297152.0,730554368,247561216.0,119961600,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
45,6,6,241158144.0,137654272,247561216.0,119961600,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
46,7,6,-11899904.0,617482240,247561216.0,119961600,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
47,8,6,248292352.0,145569792,240868352.0,127576064,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
48,1,7,245909504.0,172441600,240868352.0,127576064,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
49,2,7,228355072.0,108853248,240868352.0,127576064,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
50,3,7,235006976.0,120203264,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
51,4,7,232044544.0,139051008,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
52,5,7,225972224.0,116142080,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
53,6,7,225515520.0,117035008,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
54,7,7,225349632.0,129753088,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
55,8,7,235919360.0,122245120,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
56,1,8,315834368.0,327544832,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
57,2,8,-28078080.0,635719680,228355072.0,108853248,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
58,3,8,222586880.0,120954880,225972224.0,116142080,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
59,4,8,-42129408.0,672829440,225972224.0,116142080,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
60,5,8,92052480.0,382597120,225972224.0,116142080,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
61,6,8,223337472.0,125073408,225515520.0,117035008,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
62,7,8,222495744.0,114227200,222586880.0,120954880,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
63,8,8,224064512.0,125442048,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
64,1,9,378521600.0,180637696,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
65,2,9,375602176.0,122849280,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
66,3,9,360297472.0,138602496,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
67,4,9,335532032.0,179224576,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
68,5,9,368801792.0,108343296,222495744.0,114227200,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
69,6,9,374938624.0,124160000,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
70,7,9,380784640.0,141668352,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
71,8,9,373411840.0,125739008,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
72,1,10,379791360.0,166244352,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
73,2,10,368109568.0,234995712,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
74,3,10,373977088.0,143802368,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
75,4,10,354446336.0,135559168,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
76,5,10,360329216.0,117563392,368801792.0,108343296,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
77,6,10,369798144.0,123893760,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
78,7,10,368494592.0,122204160,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
79,8,10,369558528.0,118532096,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
80,1,11,392250368.0,216168448,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
81,2,11,378647552.0,150140928,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
82,3,11,371986432.0,125607936,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
83,4,11,370534400.0,121958400,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
84,5,11,375296000.0,131547136,360329216.0,117563392,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
85,6,11,357385216.0,164468736,369558528.0,118532096,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
86,7,11,361784320.0,127412224,369558528.0,118532096,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
87,8,11,360726528.0,117243904,369558528.0,118532096,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
88,1,12,361342976.0,152203264,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
89,2,12,368044032.0,123744256,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
90,3,12,369756160.0,117911552,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
91,4,12,367974400.0,122785792,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
92,5,12,367376384.0,124661760,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
93,6,12,363028480.0,123932672,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
94,7,12,357181440.0,134565888,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
95,8,12,362680320.0,115859456,360726528.0,117243904,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
96,1,13,110670848.0,742799360,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
97,2,13,369741824.0,116924416,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
98,3,13,136125440.0,631687168,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
99,4,13,377330688.0,149534720,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
100,5,13,129172480.0,598943744,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
101,6,13,360513536.0,117469184,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
102,7,13,130484224.0,636215296,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
103,8,13,361817088.0,115075072,362680320.0,115859456,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
104,1,14,263088128.0,131231744,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
105,2,14,264612864.0,120129536,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
106,3,14,261150720.0,117088256,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
107,4,14,266301440.0,118849536,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
108,5,14,270028800.0,118693888,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
109,6,14,274240512.0,131700736,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
110,7,14,266927104.0,127072256,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
111,8,14,267847680.0,113541120,361817088.0,115075072,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
112,1,15,204873728.0,155934720,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
113,2,15,197552128.0,114139136,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
114,3,15,197622784.0,118958080,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
115,4,15,198169600.0,117049344,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
116,5,15,196792320.0,115789824,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
117,6,15,198375424.0,116084736,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
118,7,15,196950016.0,123072512,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
119,8,15,195206144.0,109512704,267847680.0,113541120,16831774750773805056,16831774751023767552,16831774751023861760,16831774750883411968
